Phylum,Class,Order,Family,Genus,Species,Taxa,TSN,Common_name,Sex,Size_Maturity,Season_or_doy,Capture_method,Region,LME_Continent,Ocean_Freshwater,Storage_method,Storage_duration_years,Methodology,Sample_Type,N_replicates,Size_min_mm,Size_max_mm,Size_min_g,Size_max_g,Ash_perc,H2O_perc,Lipid_perc,AFLDM,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg_mean,Wet_KJg_SD,Wet_KJg_min,Wet_KJg_max,Indigestible_perc,Publication_Type,Publication_Author,Publication_Journal,Publication_Year,Notes
Chordata,Teleostei,Perciformes,Channidae,Channa,striata,Channa striata,166667,Murrel snake eel,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,12,NA,NA,NA,NA,1.1,78.3,1.1,18.1,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Serranidae,N/A,N/A,Serranidae,167674,Sea bass,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,9,NA,NA,NA,NA,1.3,78.3,1.6,19.1,NA,NA,NA,3.77,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Cypriniformes,Catostomidae,N/A,N/A,Catostomidae,163892,Sucker,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,6,NA,NA,NA,NA,1.1,78.3,3.5,17.7,NA,NA,NA,4.27,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,marginatus,Epinephelus marginatus,551078,Yellowbelly grouper,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,5,NA,NA,NA,NA,1.3,78.3,1,19.1,NA,NA,NA,3.64,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,rhombus,Scophthalmus rhombus,172749,Brill,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,5,NA,NA,NA,NA,1.6,78.3,2,17.7,NA,NA,NA,3.85,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Zeiformes,Zeidae,Zeus,faber,Zeus faber,166287,John Dory,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,4,NA,NA,NA,NA,1.4,78.3,1.4,17.8,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Arthropoda,Malacostraca,Decapoda,Portunidae,Scylla,serrata,Scylla serrata,660571,Samoan crab,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,3,NA,NA,NA,NA,1.8,78.3,2.9,17.3,NA,NA,NA,4.27,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Gerreidae,Diapterus,auratus,Diapterus auratus,169029,Mojarra,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.4,78.3,1.2,18.6,NA,NA,NA,3.64,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Sciaenidae,Johnius,glaucus,Johnius glaucus,646610,Dhoma drum,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,0.9,78.3,1.8,19,NA,NA,NA,3.85,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Lutjanidae,Lutjanus,griseus,Lutjanus griseus,168848,Gray snapper,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.2,78.3,1.6,17.6,NA,NA,NA,3.77,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Polynemidae,Polydactylus,quadrifilis,Polydactylus quadrifilis,645936,Shiny-nose threadfin,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.6,78.3,0.3,19.8,NA,NA,NA,3.43,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Clupeiformes,Clupeidae,Tenualosa,toli,Tenualosa toli,551301,Indian shad,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.8,78.3,0.7,18,NA,NA,NA,3.47,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Channidae,Channa,punctata,Channa punctata,643058,Murrel snake eel,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,13,NA,NA,NA,NA,1.5,78.4,0.7,17.1,NA,NA,NA,3.51,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Arthropoda,Malacostraca,Decapoda,N/A,N/A,N/A,Decapoda,95599,Lobster,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,8,NA,NA,NA,NA,2.1,78.4,1.4,17.6,NA,NA,NA,3.56,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Lutjanidae,N/A,N/A,Lutjanidae,168845,Snapper,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,6,NA,NA,NA,NA,1.5,78.4,1.1,19.4,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias vulpinus,159916,Thresher shark,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1.3,78.4,1.3,20.2,NA,NA,NA,3.89,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Centrarchidae,N/A,N/A,Centrarchidae,168093,Sunfish,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1.2,78.4,1.7,20.4,NA,NA,NA,4.06,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Moronidae,Dicentrarchus,punctatus,Dicentrarchus punctatus,170318,Striped bass,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1.2,78.4,1.4,18.8,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Gobiidae,Gobius,paganellus,Gobius paganellus,171854,Gudgeon goby,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,2.1,78.4,1.8,16.5,NA,NA,NA,3.81,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Mugiliformes,Mugilidae,Planiliza,tade,Planiliza tade,NA,Bhangar mullet,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1.4,78.4,0.6,16.4,NA,NA,NA,3.51,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Eleotridae,Eleotris,fusca,Eleotris fusca,553314,Sleeper,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.1,78.4,0.7,18.5,NA,NA,NA,3.56,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Lutjanidae,Lutjanus,fulvus,Lutjanus fulvus,168863,Snapper,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.1,78.4,0.4,19.7,NA,NA,NA,3.51,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Mugiliformes,Mugilidae,Sicamugil,cascasia,Mugil cascasia,630359,Kechki mullet,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.7,78.4,0.4,14.9,NA,NA,NA,3.43,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Nemipteridae,N/A,N/A,Nemipteridae,168976,Nemipterid,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.9,78.4,1.9,17.7,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Siluriformes,Bagridae,Pseudobagrus,aurantiacus,Pseudobagrus aurantiacus,681076,Freshwater catfish,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.4,78.4,3.8,16.7,NA,NA,NA,4.23,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Siganidae,Siganus,canaliculatus,Siganus canaliculatus,172335,Spiny rabbitfish,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,2.2,78.4,0.5,18.9,NA,NA,NA,3.35,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Pleuronectiformes,N/A,N/A,N/A,Pleuronectiformes,172702,Flounder,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,18,NA,NA,NA,NA,1.3,78.5,1.4,18.1,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Carangidae,Selar,crumenophthalmus,Selar crumenophthalmus,168677,Bigeye scad,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,4,NA,NA,NA,NA,1.7,78.5,1.1,19.5,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Polynemidae,Eleutheronema,tetradactylum,Eleutheronema tetradactylum,645505,Four-rayed threadfin,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1.2,78.5,0.4,17.9,NA,NA,NA,3.47,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Ammodytidae,Hyperoplus,lanceolatus,Hyperoplus lanceolatus,171682,Sand lance,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,2.8,78.5,0.9,18.2,NA,NA,NA,3.81,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,pealeii,Loligo pealeii,82372,Longfin inshore squid,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1.6,78.5,0.7,13.2,NA,NA,NA,3.47,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Beryciformes,Berycidae,Beryx,decadactylus,Beryx decadactylus,166155,Red bream,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.2,78.5,2.2,17.9,NA,NA,NA,3.85,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,albigutta,Paralichthys albigutta,172736,Gulf flounder,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.4,78.5,0.8,20.2,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Pleuronectiformes,Soleidae,Pegusa,impar,Pegusa impar,616606,Sole,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,2.1,78.5,1.7,18.6,NA,NA,NA,3.77,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Siluriformes,Ariidae,N/A,N/A,Ariidae,164157,Catfish,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,7,NA,NA,NA,NA,1.2,78.6,3.6,17.6,NA,NA,NA,4.31,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,morio,Epinephelus morio,167702,Red grouper,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,4,NA,NA,NA,NA,1.1,78.6,1.3,19.5,NA,NA,NA,3.77,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,luscus,Trisopterus luscus,164755,Fanica pout,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,4,NA,NA,NA,NA,1.7,78.6,0.8,18.9,NA,NA,NA,3.47,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,N/A,N/A,Carcharhinidae,NA,Requiem shark,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,3,NA,NA,NA,NA,1.2,78.6,1.2,19.1,NA,NA,NA,3.64,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Gerreidae,Gerres,filamentosus,Gerres filamentosus,169041,Spotted mojarra,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,3,NA,NA,NA,NA,1.7,78.6,18.6,1.3,NA,NA,NA,3.6,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,manazo,Mustelus manazo,160259,Spotted houndshark,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,3,NA,NA,NA,NA,1.3,78.6,0.5,19.1,NA,NA,NA,3.47,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Beloniformes,Hemiramphidae,Hemiramphus,far,Hemiramphus far,165466,Burguing halfbeak,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,2,NA,NA,NA,NA,1,78.6,1.3,18.9,NA,NA,NA,3.68,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Tetraodontiformes,Balistidae,N/A,N/A,Balistidae,173128,Filefish,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.5,78.6,0.3,19.4,NA,NA,NA,3.39,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Perciformes,Labridae,Labrus,viridis,Labrus viridis,170735,Spinola wrasse,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.3,78.6,1.2,18.5,NA,NA,NA,3.6,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Chordata,Teleostei,Siluriformes,Plotosidae,Plotosus,lineatus,Plotosus lineatus,164236,Barbel eel,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.7,78.6,0.7,19,NA,NA,NA,3.43,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
Arthropoda,Malacostraca,Decapoda,Penaeidae,Trachysalambria,aspera,Trachysalambria aspera,551671,Shrimp,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Proximate composition,Muscle,1,NA,NA,NA,NA,1.2,78.6,0.8,18.7,NA,NA,NA,3.56,NA,NA,NA,NA,Review,Sidwell,NOAA Technical Memorandum,1981,"When multiple tissue existed, took whole when available, then muscle, then whatever else was listed. Only took one value for each taxon, except for roe which were considered different and taken also if raw. Do not include any canned, fishmeal, dried, or otherwise treated samples. Sample size taken as the lowest of each of the composition measurement sample sizes that contribute to the ED"
